Article_Title,Year,Description,Revue,Volume,Number,Pages
Reply to Comment on “U–Pb baddeleyite ages and geochemistry of dolerite dykes in the Bas-Drâa inlier of the Anti-Atlas of Morocco: Newly identified 1380 Ma event in the West …,2013,"Lithos 174, 101-108, 2013",Lithos,174,,101108
The Anti-Atlas chain (Morocco): the southern margin of the Variscan belt along the edge of the West African Craton,2008,"Geological Society, London, Special Publications 297 (1), 433-452, 2008","Geological Society, London, Special Publications",297,1,433452
The anti-atlas pan-african belt (Morocco): Overview and pending questions,2018,"Comptes Rendus Geoscience 350 (6), 279-288, 2018",Comptes Rendus Geoscience,350,6,279288
"Les conglomérats du P III (Néoprotérozoïque supérieur) de l'Anti Atlas (Sud du Maroc): molasses panafricaines, ou marqueurs d'un rifting fini-protérozoïque?",1999,"Comptes Rendus de l'Académie des Sciences-Series IIA-Earth and Planetary …, 1999","Comptes Rendus de l'Académie des Sciences-Series IIA-Earth and Planetary …,",,,
"Déformation hercynienne et relation socle/couverture dans le domaine du Bas-Drâa (Anti-Atlas occidental, Maroc)",1997,"Journal of African Earth Sciences 24 (3), 271-284, 1997",Journal of African Earth Sciences,24,3,271284
"New geochemical, geochronological and structural constraints on the Ediacaran evolution of the south Sirwa, Agadir-Melloul and Iguerda inliers, Anti-Atlas, Morocco",2014,"Journal of African Earth Sciences 98, 47-71, 2014",Journal of African Earth Sciences,98,,4771
"Application of ASTER remote sensing data to geological mapping of basement domains in arid regions: a case study from the Central Anti-Atlas, Iguerda inlier, Morocco",2014,"Arabian Journal of Geosciences 7, 2407-2422, 2014",Arabian Journal of Geosciences,7,,24072422
"Modélisation magnétique de la suture ophiolitique de Bou Azzer–El Graara (Anti-Atlas central, Maroc). Implications sur la reconstitution géodynamique panafricaine",2006,"Comptes Rendus Geoscience 338 (3), 153-160, 2006",Comptes Rendus Geoscience,338,3,153160
"Effects of salt stress on growth, inorganic ions and proline accumulation in relation to osmotic adjustment in five sugar beet cultivars",2002,"Environmental and experimental Botany 47 (1), 39-50, 2002",Environmental and experimental Botany,47,1,3950
Effect of salinity on seed germination and early seedling growth of sugar beet (Beta vulgaris L.),2001,"Seed science and technology 29 (2), 357-364, 2001",Seed science and technology,29,2,357364
Phosphate solubilizing rhizobacteria could have a stronger influence on wheat root traits and aboveground physiology than rhizosphere P solubilization,2020,"Frontiers in plant science 11, 979, 2020",Frontiers in plant science,11,,979
"Growth and nodulation of alfalfa-rhizobia symbiosis under salinity: electrolyte leakage, stomatal conductance, and chlorophyll fluorescence",2014,"Turkish Journal of Agriculture and Forestry 38 (3), 320-326, 2014",Turkish Journal of Agriculture and Forestry,38,3,320326
Arbuscular mycorrhizal symbiosis enhanced growth and antioxidant metabolism in date palm subjected to long-term drought,2015,"Trees 29, 1725-1733, 2015",Trees,29,,17251733
Phosphate bacterial solubilization: A key rhizosphere driving force enabling higher P use efficiency and crop productivity,2022,"Journal of Advanced Research 38, 13-28, 2022",Journal of Advanced Research,38,,1328
Agro-physiological responses of Moroccan alfalfa (Medicago sativa L.) populations to salt stress during germination and early seedling stages,2011,"Seed Science and Technology 39 (2), 389-401, 2011",Seed Science and Technology,39,2,389401
Influence of arbuscular mycorrhizal fungi on the functional mechanisms associated with drought tolerance in carob (Ceratonia siliqua L.),2018,"Trees 32, 87-97, 2018",Trees,32,,8797
"Seed osmopriming improves plant growth, nodulation, chlorophyll fluorescence and nutrient uptake in alfalfa (Medicago sativa L.)–rhizobia symbiosis under drought stress",2016,"Scientia Horticulturae 213, 232-242, 2016",Scientia Horticulturae,213,,232242
"Low Soil Phosphorus Availability Increases Acid Phosphatases Activities and Affects P Partitioning in Nodules, Seeds and Rhizosphere of Phaseolus vulgaris",2012,"Agriculture 2 (2), 139-153, 2012",Agriculture,2,2,139153
Physiological and biochemical responses involved in water deficit tolerance of nitrogen-fixing Vicia faba,2017,"PLoS one 12 (12), e0190284, 2017",PLoS one,12,12,0190284
"Effects of water deficit on growth, nodulation and physiological and biochemical processes in Medicago sativa-rhizobia symbiotic association",2016,"Arid Land Research and Management 30 (2), 193-208, 2016",Arid Land Research and Management,30,2,193208
Changes in water deficit saturation and photosynthetic pigments of alfalfa populations under salinity and assessment of proline role in salt tolerance,2013,"Agric. Sci. Res. J 3 (1), 29-35, 2013",Agric. Sci. Res. J,3,1,2935
"Effect of salinity on nodulation, nitrogen fixation and growth of common bean (Phaseolus vulgaris) inoculated with rhizobial strains isolated from the Haouz region …",2011,"Symbiosis 55, 69-75, 2011",Symbiosis,55,,6975
Legume-based intercropping systems promote beneficial rhizobacterial community and crop yield under stressing conditions,2022,"Industrial Crops and Products 183, 114958, 2022",Industrial Crops and Products,183,,114958
Oxidative stress in the root nodules of Phaseolus vulgaris is induced under conditions of phosphorus deficiency,2013,"Acta Physiologiae Plantarum 35 (5), 1633-1644, 2013",Acta Physiologiae Plantarum,35,5,16331644
"Osmopriming improves seeds germination, growth, antioxidant responses and membrane stability during early stage of Moroccan alfalfa populations under water deficit",2016,"Chilean journal of agricultural research 76 (3), 265-272, 2016",Chilean journal of agricultural research,76,3,265272
"Growth, nutrients concentrations, and enzymes involved in plants nutrition of alfalfa populations under saline conditions",2014,"Journal of Agricultural Science and Technology (JAST) 16 (2), 301-314, 2014",Journal of Agricultural Science and Technology (JAST),16,2,301314
A phosphoenol pyruvate phosphatase transcript is induced in the root nodule cortex of Phaseolus vulgaris under conditions of phosphorus deficiency,2012,"Journal of experimental botany 63 (13), 4723-4730, 2012",Journal of experimental botany,63,13,47234730
Identification at the species and symbiovar levels of strains nodulating Phaseolus vulgaris in saline soils of the Marrakech region (Morocco) and analysis of the otsA gene …,2012,"Systematic and Applied Microbiology 35 (3), 156-164, 2012",Systematic and Applied Microbiology,35,3,156164
Rock phosphate-solubilizing Actinomycetes: screening for plant growth-promoting activities,2008,"World Journal of Microbiology and Biotechnology 24, 2565-2575, 2008",World Journal of Microbiology and Biotechnology,24,,25652575
Screening for rock phosphate solubilizing Actinomycetes from Moroccan phosphate mines,2008,"Applied soil ecology 38 (1), 12-19, 2008",Applied soil ecology,38,1,1219
Actinomycetes of Moroccan habitats: isolation and screening for antifungal activities,2001,"European Journal of Soil Biology 37 (2), 69-74, 2001",European Journal of Soil Biology,37,2,6974
Growth promotion and protection against damping-off of wheat by two rock phosphate solubilizing actinomycetes in a P-deficient soil under greenhouse conditions,2008,"Applied soil ecology 40 (3), 510-517, 2008",Applied soil ecology,40,3,510517
Exploiting biological nitrogen fixation: a route towards a sustainable agriculture,2020,"Plants 9 (8), 1011, 2020",Plants,9,8,1011
Early physiological responses of Arabidopsis thaliana cells to fusaric acid: toxic and signalling effects,2006,"New Phytologist 169 (1), 209-218, 2006",New Phytologist,169,1,209218
Characterization of rhizospheric soil streptomycetes from Moroccan habitats and their antimicrobial activities,2002,"World Journal of Microbiology and Biotechnology 18, 49-54, 2002",World Journal of Microbiology and Biotechnology,18,,4954
Antagonistic actinomycetes from Moroccan soil to control the grapevine gray mold,2009,"World Journal of Microbiology and Biotechnology 25, 81-91, 2009",World Journal of Microbiology and Biotechnology,25,,8191
From isolation of phosphate solubilizing microbes to their formulation and use as biofertilizers: status and needs,2020,"Frontiers in bioengineering and biotechnology 7, 425, 2020",Frontiers in bioengineering and biotechnology,7,,425
Actinobacteria from extreme niches in morocco and their plant growth-promoting potentials,2019,"Diversity 11 (8), 139, 2019",Diversity,11,8,139
Antimicrobial potential of actinomycetes isolated from the unexplored hot Merzouga desert and their taxonomic diversity,2019,"Biology open 8 (2), bio035410, 2019",Biology open,8,2,035410
The screening of potassium-and phosphate-solubilizing actinobacteria and the assessment of their ability to promote wheat growth parameters,2021,"Microorganisms 9 (3), 470, 2021",Microorganisms,9,3,470
Isolation and characterization of rock phosphate solubilizing actinobacteria from a Togolese phosphate mine,2012,"African Journal of Biotechnology 11 (2), 312, 2012",African Journal of Biotechnology,11,2,312
Potential role and utilization of plant growth promoting microbes in plant tissue culture,2021,"Frontiers in Microbiology 12, 649878, 2021",Frontiers in Microbiology,12,,649878
Physiological studies and comparative analysis of rock phosphate solubilization abilities of Actinomycetales originating from Moroccan phosphate mines and of Streptomyces lividans,2010,"Applied Soil Ecology 44 (1), 24-31, 2010",Applied Soil Ecology,44,1,2431
Chemical composition of essential oil of Jatropha curcas L. leaves and its antioxidant and antimicrobial activities,2018,"Industrial crops and products 121, 405-410, 2018",Industrial crops and products,121,,405410
A putative role for fusaric acid in biocontrol of the parasitic angiosperm Orobanche ramosa,2006,"Molecular plant-microbe interactions 19 (5), 550-556, 2006",Molecular plant-microbe interactions,19,5,550556
Efficacy of phosphate solubilizing Actinobacteria to improve rock phosphate agronomic effectiveness and plant growth promotion,2021,"Rhizosphere 17, 100284, 2021",Rhizosphere,17,,100284
Artemia salina as a new index for assessment of acute cytotoxicity during co-composting of sewage sludge and lignocellulose waste,2016,"Waste management 50, 194-200, 2016",Waste management,50,,194200
Purification of antibiotics from the biocontrol agent Streptomyces anulatus S37 by centrifugal partition chromatography,2014,"Journal of Chromatography B 944, 30-34, 2014",Journal of Chromatography B,944,,3034
Genetic structure and core collection of the World Olive Germplasm Bank of Marrakech: towards the optimised management and use of Mediterranean olive genetic resources,2011,"Genetica 139, 1083-1094, 2011",Genetica,139,,10831094
Induction of natural defence accompanied by salicylic acid-dependant systemic acquired resistance in tomato seedlings in response to bioelicitors isolated from green algae,2012,"Scientia Horticulturae 138, 55-63, 2012",Scientia Horticulturae,138,,5563
"Arbuscular Mycorrhizal Fungi Mediate Drought Tolerance and Recovery in Two Contrasting Carob (Ceratonia siliqua L.) Ecotypes by Regulating Stomatal, Water …",2020,"Plants 9 (1), 80, 2020",Plants,9,1,80
Cell wall-bound phenolic acid and lignin contents in date palm as related to its resistance to Fusarium oxysporum,2001,"Biologia plantarum 44 (1), 125-130, 2001",Biologia plantarum,44,1,125130
Induction of natural defense and protection against Penicillium expansum and Botrytis cinerea in apple fruit in response to bioelicitors isolated from green algae,2015,"Scientia Horticulturae 181, 121-128, 2015",Scientia Horticulturae,181,,121128
Seaweed polysaccharides as bio-elicitors of natural defenses in olive trees against verticillium wilt of olive,2018,"Journal of Plant Interactions 13 (1), 248-255, 2018",Journal of Plant Interactions,13,1,248255
Inoculation of Platanus acerifolia with Ceratocystis fimbriata f. sp. platani induces scopoletin and umbelliferone accumulation,1993,"Phytochemistry 34 (5), 1271-1276, 1993",Phytochemistry,34,5,12711276
Mechanisms of date palm resistance to Bayoud disease: Current state of knowledge and research prospects,2010,"Physiological and Molecular Plant Pathology 74 (5-6), 287-294, 2010",Physiological and Molecular Plant Pathology,74,56,287294
Phenolic compounds in date palm cultivars sensitive and resistant toFusarium oxysporum,1996,"Biologia Plantarum 38, 451-457, 1996",Biologia Plantarum,38,,451457
Changes in Cell Wall‐bound Phenolic Compounds and Lignin in Roots of Date Palm Cultivars Differing in Susceptibility to Fusarium oxysporum f. sp. albedinis,2000,"Journal of Phytopathology 148 (7-8), 405-411, 2000",Journal of Phytopathology,148,78,405411
Differential induction of phenylalanine ammonia-lyase activity in date palm roots in response to inoculation with Fusarium oxysporum f. sp. albedinis and to elicitation with …,2001,"Journal of Plant Physiology 158 (6), 715-722, 2001",Journal of Plant Physiology,158,6,715722
Physiological and biochemical traits of drought tolerance in Argania spinosa,2015,"Journal of Plant Interactions 10 (1), 252-261, 2015",Journal of Plant Interactions,10,1,252261
Changes in antioxidant activities and phenol content in tomato plants subjected to partial root drying and regulated deficit irrigation,2008,"Plant Biosystems-An International Journal Dealing with all Aspects of Plant …, 2008","Plant Biosystems-An International Journal Dealing with all Aspects of Plant …,",,,
Effect of arbuscular mycorrhizal fungi and phosphate-solubilizing bacteria consortia associated with phospho-compost on phosphorus solubilization and growth of tomato seedlings …,2020,"Communications in Soil Science and Plant Analysis 51 (5), 622-634, 2020",Communications in Soil Science and Plant Analysis,51,5,622634
"Leaf water status, osmoregulation and secondary metabolism as a model for depicting drought tolerance in Argania spinosa",2015,"Acta Physiologiae Plantarum 37, 1-16, 2015",Acta Physiologiae Plantarum,37,,116
Construction of a genetic linkage map for the olive based on AFLP and SSR markers,2010,"Crop science 50 (6), 2291-2302, 2010",Crop science,50,6,22912302
Assemblage of indigenous arbuscular mycorrhizal fungi and green waste compost enhance drought stress tolerance in carob (Ceratonia siliqua L.) trees,2021,"Scientific Reports 11 (1), 22835, 2021",Scientific Reports,11,1,22835
Use of alginate extracted from Moroccan brown algae to stimulate natural defense in date palm roots,2020,"Molecules 25 (3), 720, 2020",Molecules,25,3,720
Differential physiological and antioxidative responses to drought stress and recovery among four contrasting Argania spinosa ecotypes,2016,"Journal of Plant Interactions 11 (1), 30-40, 2016",Journal of Plant Interactions,11,1,3040
"Evaluation of the nutrients cycle, humification process, and agronomic efficiency of organic wastes composting enriched with phosphate sludge",2021,"Journal of Cleaner Production 302, 127051, 2021",Journal of Cleaner Production,302,,127051
Physico-chemical properties of nanocrystalline apatites: implications for biominerals and biomaterials,2007,"Materials Science and engineering: C 27 (2), 198-205, 2007",Materials Science and engineering: C,27,2,198205
Hydroxyapatite crystals as a local delivery system for cisplatin: adsorption and release of cisplatin in vitro,2002,"Journal of orthopaedic research 20 (2), 274-280, 2002",Journal of orthopaedic research,20,2,274280
"Removal of the herbicide 2, 4-dichlorophenoxyacetate from water to zinc–aluminium–chloride layered double hydroxides",2005,"Water Research 39 (15), 3441-3448, 2005",Water Research,39,15,34413448
Ion exchange of different phosphate ions into the zinc–aluminium–chloride layered double hydroxide,1999,"Materials Letters 38 (6), 391-395, 1999",Materials Letters,38,6,391395
Interactions of cisplatin with calcium phosphate nanoparticles: in vitro controlled adsorption and release,2004,"Journal of Orthopaedic Research 22 (4), 703-708, 2004",Journal of Orthopaedic Research,22,4,703708
"Preparation of a new stable hybrid material by chloride–2, 4-dichlorophenoxyacetate ion exchange into the zinc–aluminium–chloride layered double hydroxide",2000,"Journal of Materials Chemistry 10 (4), 1007-1011, 2000",Journal of Materials Chemistry,10,4,10071011
"Nuclear magnetic resonance spin‐spin relaxation of the crystals of bone, dental enamel, and synthetic hydroxyapatites",2002,"Journal of Bone and Mineral Research 17 (3), 472-480, 2002",Journal of Bone and Mineral Research,17,3,472480
"Nanocrystalline apatites in biological systems: characterisation, structure and properties",2007,"Materialwissenschaft und Werkstofftechnik: Entwicklung, Fertigung, Prüfung …, 2007","Materialwissenschaft und Werkstofftechnik: Entwicklung, Fertigung, Prüfung …,",,,
Influence of pH on the synthesis of the Zn-Al-nitrate layered double hydroxide and the exchange of nitrate by phosphate ions,1999,"Journal of materials science letters 18 (13), 1077-1080, 1999",Journal of materials science letters,18,13,10771080
"Infrared, Raman and NMR investigations of risedronate adsorption on nanocrystalline apatites",2014,"Journal of colloid and interface science 420, 101-111, 2014",Journal of colloid and interface science,420,,101111
Adsorption of catalase on hydroxyapatite,1998,"Journal of colloid and interface science 208 (1), 147-152, 1998",Journal of colloid and interface science,208,1,147152
Adsorption of O-phospho-L-serine and L-serine onto poorly crystalline apatite,2001,"Journal of Colloid and Interface Science 238 (1), 48-53, 2001",Journal of Colloid and Interface Science,238,1,4853
Use of the ion-exchange properties of layered double hydroxides for water purification,1998,"Collection of Czechoslovak chemical communications 63 (5), 732-740, 1998",Collection of Czechoslovak chemical communications,63,5,732740
Adsorption of bovine serum albumin on poorly crystalline apatite: influence of maturation,1999,"Materials research bulletin 34 (14-15), 2279-2289, 1999",Materials research bulletin,34,1415,22792289
Adsorption of succinylated lysozyme on hydroxyapatite,1997,"Journal of colloid and interface science 189 (1), 37-42, 1997",Journal of colloid and interface science,189,1,3742
Adsorption on apatitic calcium phosphates for drug delivery: interaction with bisphosphonate molecules,2014,"Journal of Materials Science: Materials in Medicine 25, 2373-2381, 2014",Journal of Materials Science: Materials in Medicine,25,,23732381
Removal of chromate ions from water by anionicc clays,1999,"Journal de Chimie Physique et de Physico-Chimie Biologique 96 (3), 455-463, 1999",Journal de Chimie Physique et de Physico-Chimie Biologique,96,3,455463
"Medical potentialities of biomimetic apatites through adsorption, ionic substitution, and mineral/organic associations: three illustrative examples",2010,"Advanced Engineering Materials 12 (7), B224-B233, 2010",Advanced Engineering Materials,12,7,224233
Chloride-hydrogenophosphate ion exchange into the zinc–aluminium–chloride layered double hydroxide,1998,"Materials chemistry and physics 52 (3), 235-239, 1998",Materials chemistry and physics,52,3,235239
Removal of pesticides from water by anionic clays,1999,"Journal de Chimie Physique et de Physico-Chimie Biologique 96 (3), 470-478, 1999",Journal de Chimie Physique et de Physico-Chimie Biologique,96,3,470478
Low cost biosorbent “banana peel” for the removal of phenolic compounds from olive mill wastewater: Kinetic and equilibrium studies,2009,"Journal of hazardous materials 166 (1), 117-125, 2009",Journal of hazardous materials,166,1,117125
Phenolic profile and antioxidant activities of olive mill wastewater,2011,"Food Chemistry 132 (1), 406–412, 2011",Food Chemistry,132,1,406412
Integrated direct contact membrane distillation for olive mill wastewater treatment,2013,"Desalination 323, 31-38, 2013",Desalination,323,,3138
Olive oil production sector: Environmental effects and sustainability challenges,2017,"Olive mill waste, 1-28, 2017","Olive mill waste,",128,,
Micellar enhanced ultrafiltration process for the treatment of olive mill wastewater,2011,"Water research 45 (15), 4522–4530, 2011",Water research,45,15,45224530
Concentration of olive mill wastewater by membrane distillation for polyphenols recovery,2009,"Desalination 245 (1-3), 670-674, 2009",Desalination,245,13,670674
Potential applications of olive mill wastewater as biopesticide for crops protection,2017,"Science of the Total Environment 576, 10-21, 2017",Science of the Total Environment,576,,1021
"Detailed study of Brazil nut (Bertholletia excelsa) oil micro-compounds: phospholipids, tocopherols and sterols",2008,"Journal of the Brazilian Chemical Society 19 (7), 1374-1380, 2008",Journal of the Brazilian Chemical Society,19,7,13741380
Membrane-based simultaneous degumming and deacidification of vegetable oils,2005,"Innovative Food Science & Emerging Technologies 6 (2), 203-212, 2005",Innovative Food Science & Emerging Technologies,6,2,203212
Treatment of olive mill wastewater by membrane distillation using polytetrafluoroethylene membranes,2012,"Separation and Purification Technology 98, 55–61, 2012",Separation and Purification Technology,98,,5561
Application of ultrafiltration for olive processing wastewaters treatment,2014,"Journal of Cleaner Production 65, 432-438, 2014",Journal of Cleaner Production,65,,432438
Chemical composition changes in four green olive cultivars during spontaneous fermentation,2014,"LWT-Food science and Technology 57 (2), 663-670, 2014",LWT-Food science and Technology,57,2,663670
Application of membrane distillation technology in the treatment of table olive wastewaters for phenolic compounds concentration and high quality water production,2014,"Chemical Engineering and Processing: Process Intensification 86, 153-161, 2014",Chemical Engineering and Processing: Process Intensification,86,,153161
Olive mill waste: recent advances for sustainable management,2016,"Academic Press, 2016","Academic Press,",,,
Treatment of crude olive mill wastewaters by osmotic distillation and osmotic membrane distillation,2013,"Separation and purification technology 104, 327-332, 2013",Separation and purification technology,104,,327332
Cloud point extraction of phenolic compounds from pretreated olive mill wastewater,2014,"Journal of Environmental Chemical Engineering 2 (3), 1480-1486, 2014",Journal of Environmental Chemical Engineering,2,3,14801486
Removal of phenolic compounds from olive mill wastewater by adsorption onto wheat bran,2014,"DESALINATION AND WATER TREATMENT 52 (13-15), 2875-2885, 2014",DESALINATION AND WATER TREATMENT,52,1315,28752885
Assessment of the antioxidant and antibacterial activities of different olive processing wastewaters,2017,"PLoS One 12 (9), e0182622, 2017",PLoS One,12,9,0182622
Effect of maturity and environmental conditions on chemical composition of olive oils of introduced cultivars in Morocco,2019,"Journal of Food Quality 2019, 1-14, 2019",Journal of Food Quality,2019,,114
Molecular characterization and genetic relationships among most common identified morphotypes of critically endangered rare Moroccan species Argania spinosa (Sapotaceae) using …,2008,"Annals of Forest Science 65 (8), 1, 2008",Annals of Forest Science,65,8,1
Challenges for drought assessment in the Mediterranean region under future climate scenarios,2020,"Earth-Science Reviews 210, 103348, 2020",Earth-Science Reviews,210,,103348
Assessment of soil contamination around an abandoned mine in a semi-arid environment using geochemistry and geostatistics: pre-work of geochemical process modeling with …,2013,"Journal of Geochemical Exploration 125, 117-129, 2013",Journal of Geochemical Exploration,125,,117129
An integrated modelling and remote sensing approach for hydrological study in arid and semi‐arid regions: the SUDMED Programme,2008,"International Journal of Remote Sensing 29 (17-18), 5161-5181, 2008",International Journal of Remote Sensing,29,1718,51615181
Assessment of daily MODIS snow cover products to monitor snow cover dynamics over the Moroccan Atlas mountain range,2015,"Remote Sensing of Environment 160, 72-86, 2015",Remote Sensing of Environment,160,,7286
"Climate change impacts on surface water resources in the Rheraya catchment (High Atlas, Morocco)",2017,"Hydrological sciences journal 62 (6), 979-995, 2017",Hydrological sciences journal,62,6,979995
Remote sensing of water resources in semi-arid Mediterranean areas: The joint international laboratory TREMA,2015,"International Journal of Remote Sensing 36 (19-20), 4879-4917, 2015",International Journal of Remote Sensing,36,1920,48794917
Different sensitivities of snowpacks to warming in Mediterranean climate mountain areas,2017,"Environmental Research Letters 12 (7), 074006, 2017",Environmental Research Letters,12,7,074006
Evaluation of the snowmelt runoff model in the Moroccan High Atlas Mountains using two snow-cover estimates,2009,"Hydrological sciences journal 54 (6), 1094-1113, 2009",Hydrological sciences journal,54,6,10941113
Earth Observation products for operational irrigation management in the context of the PLEIADeS project,2010,"Agricultural water management 98 (2), 271-282, 2010",Agricultural water management,98,2,271282
Evaluation of TRMM 3B42 V7 Rainfall Product over the Oum Er Rbia Watershed in Morocco,2017,"Climate 5 (1), 2017",Climate,5,1,
Future scenarios of surface water resources availability in North African dams,2018,"Water Resources Management 32, 1291-1306, 2018",Water Resources Management,32,,12911306
Citrus orchard evapotranspiration: comparison between eddy covariance measurements and the FAO-56 approach estimates,2009,"Plant Biosystems 143 (1), 201-208, 2009",Plant Biosystems,143,1,201208
A combined high and low spatial resolution approach for mapping snow covered areas in the Atlas mountains,2005,"International Journal of Remote Sensing 26 (13), 2755-2777, 2005",International Journal of Remote Sensing,26,13,27552777
GIS-based environmental database for assessing the mine pollution: A case study of an abandoned mine site in Morocco,2014,"Journal of Geochemical Exploration 144, 468-477, 2014",Journal of Geochemical Exploration,144,,468477
Evaluation of satellite-based rainfall products for hydrological modelling in Morocco,2016,"Hydrological sciences journal 61 (14), 2509-2519, 2016",Hydrological sciences journal,61,14,25092519
Trends in flow intermittence for European rivers,2021,"Hydrological Sciences Journal 66 (1), 37-49, 2021",Hydrological Sciences Journal,66,1,3749
Energy fluxes and melt rate of a seasonal snow cover in the Moroccan High Atlas,2016,"Hydrological Sciences Journal 61 (5), 931-943, 2016",Hydrological Sciences Journal,61,5,931943
Long-term analysis of snow-covered area in the Moroccan High-Atlas through remote sensing,2010,"International Journal of Applied Earth Observation and Geoinformation 12 …, 2010",International Journal of Applied Earth Observation and Geoinformation,12,,
Isotopic signatures for the assessment of snow water resources in the Moroccan high Atlas mountains: contribution to surface and groundwater recharge,2016,"Environmental Earth Sciences 75, 1-11, 2016",Environmental Earth Sciences,75,,111
Effect of digital elevation model resolution on the simulation of the snow cover evolution in the High Atlas,2019,"Water Resources Research 55 (7), 5360-5378, 2019",Water Resources Research,55,7,53605378
"An efficient and reusable heterogeneous catalyst animal bone meal for facile synthesis of benzimidazoles, benzoxazoles, and benzothiazoles",2011,"Tetrahedron letters 52 (27), 3492-3495, 2011",Tetrahedron letters,52,27,34923495
Removal of two textile dyes from aqueous solutions onto calcined bones,2013,"Journal of the Association of Arab Universities for Basic and Applied …, 2013","Journal of the Association of Arab Universities for Basic and Applied …,",,,
Use of response factorial design for process optimization of basic dye adsorption onto activated carbon derived from Persea species,2017,"Microchemical Journal 130, 129-136, 2017",Microchemical Journal,130,,129136
"Calcined eggshells as a new biosorbent to remove basic dye from aqueous solutions: thermodynamics, kinetics, isotherms and error analysis",2014,"Journal of the Taiwan Institute of Chemical Engineers 45 (4), 1578-1587, 2014",Journal of the Taiwan Institute of Chemical Engineers,45,4,15781587
